courseid|userid|created_stamp|INSTANCECODE
`0d58mxZG`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0DbVV54z`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0DCOBKKV`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0dkQ6gzB`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0dWwvYdd`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0E0Xg0s9`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0EIstpeR`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0ej05jrW`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0EMH2ebn`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0eV4RjxE`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0eVLGaJQ`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0F4RjFBx`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0f9XAaN2`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0Fbe2jvJ`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0Fbg8y5m`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0Fdq9uVJ`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0Fesf9KZ`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0FHbhHMA`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0FjktgpQ`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0FKCPQ7T`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0FqraBil`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0Fss07vL`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0FUFrXfT`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0FUYKG83`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0g8bDVM`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0gCst1zO`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0gIJ9lD6`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0GKYoVmF`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0gP2P1Sw`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0GtAeHwV`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0GyGctzE`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0HAQABnU`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0hEOQRVa`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0HEZA2AP`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0hhNj1IZ`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0HMmjYFM`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0HqGPcXy`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0HSUseE3`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0hx7Mqn7`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0IdD7eGt`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0IdgKIPH`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0IisLcJX`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0ILe9hf7`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
`0JEZzBfa`|NULL|`Dec  3 2020 12:01AM`|`ilmsdevqa`
